N	f	V	T	ttf
	1269487110.0	112.5442076	3	
	873186570.0	112.5442076	3	
	704117360.0	112.5442076	3	
	757412590.0	112.5442076	3	
	527897880.0	112.5442076	3	
	639490630.0	112.5442076	3	
	1115279900.0	112.5442076	3	
	704146520.0	112.5442076	3	
	587069470.0	112.5442076	3	
	536392790.0	112.5442076	3	
	843612080.0	112.5442076	3	
	827454700.0	112.5442076	3	
	880557610.0	112.5442076	3	
	609129050.0	112.5442076	3	
	586887780.0	112.5442076	3	
	620866630.0	112.5442076	3	
	767783540.0	112.5442076	3	
	840998030.0	112.5442076	3	
	493150390.0	112.5442076	3	
	718212780.0	112.5442076	3	
	859878900.0	112.5442076	3	
	722599120.0	112.5442076	3	
	772005650.0	112.5442076	3	
	559405900.0	112.5442076	3	
	662521490.0	112.5442076	3	
	549021210.0	112.5442076	3	
	706102810.0	112.5442076	3	
	694774990.0	112.5442076	3	
	662293490.0	112.5442076	3	
	732368650.0	112.5442076	3	
	854023170.0	112.5442076	3	
	852105090.0	112.5442076	3	
	766031370.0	112.5442076	3	
	785913010.0	112.5442076	3	
	742183960.0	112.5442076	3	
	1281492500.0	112.5442076	3	
	615151380.0	112.5442076	3	
	797987910.0	112.5442076	3	
	766940680.0	112.5442076	3	
	694564910.0	112.5442076	3	
	928632920.0	112.5442076	3	
	1289821430.0	112.5442076	3	
	923760040.0	112.5442076	3	
	887982000.0	112.5442076	3	
	559182610.0	112.5442076	3	
	544325140.0	112.5442076	3	
	754639890.0	112.5442076	3	
	927831120.0	112.5442076	3	
	556585850.0	112.5442076	3	
	640736490.0	112.5442076	3	
	782390630.0	112.5442076	3	
	927174290.0	112.5442076	3	
	675534390.0	112.5442076	3	
	851280080.0	112.5442076	3	
	531004510.0	112.5442076	3	
	629421250.0	112.5442076	3	
	744901600.0	112.5442076	3	
	777657360.0	112.5442076	3	
	924740680.0	112.5442076	3	
	710462090.0	112.5442076	3	
	736587690.0	112.5442076	3	
	706965360.0	112.5442076	3	
	851951800.0	112.5442076	3	
	622360460.0	112.5442076	3	
	581322300.0	112.5442076	3	
	794082660.0	112.5442076	3	
	619337680.0	112.5442076	3	
	628622930.0	112.5442076	3	
	719086180.0	112.5442076	3	
	445596280.0	112.5442076	3	
	524382370.0	112.5442076	3	
	740164620.0	112.5442076	3	
	677271270.0	112.5442076	3	
	867879490.0	112.5442076	3	
	822182490.0	112.5442076	3	
	1165171610.0	112.5442076	3	
	1195976540.0	112.5442076	3	
	544519730.0	112.5442076	3	
	770222570.0	112.5442076	3	
	792326360.0	112.5442076	3	
	859885620.0	112.5442076	3	
	773117540.0	112.5442076	3	
	891838240.0	112.5442076	3	
	657700130.0	112.5442076	3	
	609122340.0	112.5442076	3	
	836913700.0	112.5442076	3	
	649613990.0	112.5442076	3	
	734420220.0	112.5442076	3	
	724868940.0	112.5442076	3	
	748817430.0	112.5442076	3	
	942700780.0	112.5442076	3	
	558661230.0	112.5442076	3	
	764291180.0	112.5442076	3	
	930109960.0	112.5442076	3	
	1293905380.0	112.5442076	3	
	924653300.0	112.5442076	3	
	773225420.0	112.5442076	3	
	671054530.0	112.5442076	3	
	735596030.0	112.5442076	3	
	653034520.0	112.5442076	3	
	809918060.0	112.5442076	3	
	496521260.0	112.5442076	3	
	709133710.0	112.5442076	3	
	917264670.0	112.5442076	3	
	643353320.0	112.5442076	3	
	525990990.0	112.5442076	3	
	675948510.0	112.5442076	3	
	541440560.0	112.5442076	3	
	670883620.0	112.5442076	3	
	696804720.0	112.5442076	3	
	1283228710.0	112.5442076	3	
	758664470.0	112.5442076	3	
	932661850.0	112.5442076	3	
	675253150.0	112.5442076	3	
	1105117730.0	112.5442076	3	
	696513900.0	112.5442076	3	
	690977310.0	112.5442076	3	
	669733810.0	112.5442076	3	
	811839340.0	112.5442076	3	
	873695350.0	112.5442076	3	
	903610160.0	112.5442076	3	
	896804560.0	112.5442076	3	
	739907010.0	112.5442076	3	
	798348090.0	112.5442076	3	
	747652610.0	112.5442076	3	
	799389790.0	112.5442076	3	
	733116960.0	112.5442076	3	
	605335990.0	112.5442076	3	
	642432390.0	112.5442076	3	
	586043650.0	112.5442076	3	
	843711340.0	112.5442076	3	
	775797000.0	112.5442076	3	
	893355850.0	112.5442076	3	
	610864900.0	112.5442076	3	
	1256558020.0	112.5442076	3	
	663452520.0	112.5442076	3	
	792235560.0	112.5442076	3	
	1186890770.0	112.5442076	3	
	592828200.0	112.5442076	3	
	797118900.0	112.5442076	3	
	923892700.0	112.5442076	3	
	924422510.0	112.5442076	3	
	1308496630.0	112.5442076	3	
	666266960.0	112.5442076	3	
	565842990.0	112.5442076	3	
	824702040.0	112.5442076	3	
	690718130.0	112.5442076	3	
	723600190.0	112.5442076	3	
	627690240.0	112.5442076	3	
	1288529730.0	112.5442076	3	
	920717240.0	112.5442076	3	
	1223340570.0	112.5442076	3	
	959894600.0	112.5442076	3	
	843507390.0	112.5442076	3	
	558569580.0	112.5442076	3	
	627405790.0	112.5442076	3	
	845943130.0	112.5442076	3	
	831342360.0	112.5442076	3	
	616297350.0	112.5442076	3	
	608459390.0	112.5442076	5	
	562936450.0	112.5442076	5	
	560338680.0	112.5442076	5	
	619533420.0	112.5442076	5	
	508971440.0	112.5442076	5	
	523125440.0	112.5442076	5	
	510244460.0	112.5442076	5	
	418802350.0	112.5442076	5	
	510200710.0	112.5442076	5	
	503159040.0	112.5442076	5	
	532196960.0	112.5442076	5	
	543784800.0	112.5442076	5	
	543475520.0	112.5442076	5	
	539515910.0	112.5442076	5	
	465831080.0	112.5442076	5	
	563440440.0	112.5442076	5	
	539367030.0	112.5442076	5	
	566338670.0	112.5442076	5	
	497940460.0	112.5442076	5	
	501981630.0	112.5442076	5	
	480738190.0	112.5442076	5	
	568597490.0	112.5442076	5	
	529737800.0	112.5442076	5	
	517288030.0	112.5442076	5	
	677978040.0	112.5442076	5	
